 Td        ID        Tj        Df        Dd        Db
283       603       228         0        55        55
284       764       280         0         4         4
286      2340       115         0       171       171
286      2783       284         0         2         2
286       745       267         5        14        19
288       551       209        12        67        79
288       784       284         0         4         4
288       738       263         0        25        25
289      2672       247         4        38        42
289       701       255         0        34        34
290      2797       290         0         0         0
291      2668       246        13        32        45
291      2804       291         0         0         0
291       654       243         0        48        48
291       509       190         5        96       101
291       522       199         3        89        92
291       533       206         7        78        85
291       511       190         5        96       101
291       518       191         5        95       100
291       578       214         0        77        77
291       594       224         0        67        67
291       602       226         0        65        65
291       643       238         0        53        53
291       639       238         0        53        53
291       656       243         0        48        48
291       688       251         0        40        40
291       689       251         0        40        40
291       725       260         0        31        31
291       740       263         0        28        28
291       733       262         0        29        29
291       730       262         3        26        29
291       718       259         0        32        32
291       717       259         0        32        32
291       716       259         0        32        32
291       805       291         0       291         0
292       768       280         0        12        12
293      2764       280         7         6        13
293      2810       292         0         1         1
293      4089       290         0         3         3
293       786       289         0         4         4
294      2217        79        38       177       215
295      2678       247         6        42        48
295       792       290         0         5         5
296      2460       164         3       129       132
297      2532       206         1        90        91
297      2619       234        22        41        63
297      2728       262         8        27        35
298       831       298         0       298         0
299       827       298         0       299         1
301      2563       212        22        67        89
301      2598       226        10        65        75
301      2354       119        75       107       182
304      2638       238        18        48        66
304      2844       304         0         0         0
305      2614       230        19        56        75
305       848       305         0       305         0
306      2572       213         6        87        93
306      2682       249         8        49        57
307      2366       122        77       108       185
308      2621       234         3        71        74
308      2802       291         4        13        17
308      2524       199         0       109       109
308       854       305         0         3         3
309      2531       201        44        64       108
309      2472       172        51        86       137
310      2789       289        14         7        21
310      2603       228         1        81        82
310      2641       238        11        61        72
311      2719       259         0        52        52
312      2665       246         0        66        66
312      2311       107        14       191       205
312      4110       310         0         2         2
312      4113       312         0         0         0
313      2152        55        28       230       258
315      2689       251        11        53        64
316       895       314         0         2         2
318      2448       161         4       153       157
319      2733       262         6        51        57
320      2538       206         0       114       114
321      2776       281        12        28        40
321      2683       249        16        56        72
321       816       295         1        25        26
322      2751       268         1        53        54
322      2492       188        17       117       134
322      2579       214         1       107       108
323      2884       313         9         1        10
324      2915       321         0         3         3
325      2384       131        24       170       194
325       888       313         0        12        12
326       866       309         0        17        17
327      2706       255        19        53        72
327      2256        89        47       191       238
328       669       246        31        51        82
328       930       328         0         0         0
329      2726       260         7        62        69
329       901       315         0        14        14
331      2798       291        11        29        40
331      2567       213       117         1       118
331       797       290         0        41        41
331       847       304         0        27        27
332      2770       281         9        42        51
332      2559       210         2       120       122
332       820       297         3        32        35
